"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1499",2.576429,2.582143,2.537857,2.539643,671171200,2.180579
"1500",2.539643,2.592857,2.537143,2.549286,529295200,2.188859
"1501",2.558214,2.585,2.54,2.575357,479108000,2.211244
"1502",2.592857,2.628929,2.590714,2.625,475736800,2.253869
"1503",2.639643,2.660357,2.628571,2.643571,370610800,2.269814
"1504",2.648929,2.652143,2.617857,2.619643,229857600,2.249268
"1505",2.642857,2.685,2.641071,2.651071,590590000,2.276253
"1506",2.659643,2.67,2.618571,2.6275,398115200,2.256015
"1507",2.635,2.636429,2.550714,2.551786,490025200,2.191005
"1508",2.5325,2.586786,2.512143,2.5675,624262800,2.204497
"1509",2.585,2.669643,2.580357,2.669643,807234400,2.292199
"1510",2.683214,2.713571,2.660714,2.6775,619603600,2.298946
"1511",2.6725,2.675,2.633929,2.656429,449422400,2.280853
"1512",2.6875,2.739286,2.6625,2.725,704457600,2.33973
"1513",2.740357,2.757143,2.705,2.716071,675040800,2.332064
"1514",2.723214,2.924643,2.708214,2.887857,2279869200,2.479561
"1515",2.994286,3.028571,2.949643,2.996429,1493794400,2.572783
"1516",3.034643,3.085714,2.986429,3.010357,1280809600,2.584742
"1517",3.035357,3.071786,3.021429,3.056786,776305600,2.624606
"1518",3.060714,3.085,2.995357,3.025357,835623600,2.59762
"1519",2.967143,3.001786,2.923214,2.946071,1200637200,2.529545
"1520",2.901786,2.916429,2.812143,2.822857,1695848000,2.423751
"1521",2.831429,2.858571,2.708214,2.7175,1134758800,2.33329
"1522",2.717857,2.841429,2.714286,2.773929,1059730000,2.381741
"1523",2.812857,2.836429,2.706071,2.715714,1142254400,2.331756
"1524",2.763929,2.767857,2.616071,2.65,1275786400,2.275333
"1525",2.661786,2.693929,2.568929,2.583214,1181387200,2.21799
"1526",2.605357,2.628571,2.539286,2.5725,953864800,2.20879
"1527",2.541786,2.735714,2.531071,2.678571,1398401200,2.299865
"1528",2.696429,2.726429,2.633929,2.696786,913542000,2.315505
"1529",2.676786,2.730714,2.665714,2.693571,521186400,2.312744
"1530",2.682143,2.691429,2.573214,2.575,707322000,2.210937
"1531",2.58,2.599643,2.537143,2.566071,692123600,2.203271
"1532",2.572143,2.589643,2.383571,2.403571,1651767600,2.063746
