"Date","Close","Company.Name"
"2000-01-03",0.999442,"APPLE"
"2000-01-04",0.915179,"APPLE"
"2000-01-05",0.928571,"APPLE"
"2000-01-06",0.848214,"APPLE"
"2000-01-07",0.888393,"APPLE"
"2000-01-10",0.872768,"APPLE"
"2000-01-11",0.828125,"APPLE"
"2000-01-12",0.77846,"APPLE"
"2000-01-13",0.863839,"APPLE"
"2000-01-14",0.896763,"APPLE"
"2000-01-18",0.928013,"APPLE"
"2000-01-19",0.951451,"APPLE"
"2000-01-20",1.013393,"APPLE"
"2000-01-21",0.993862,"APPLE"
"2000-01-24",0.948661,"APPLE"
"2000-01-25",1.002232,"APPLE"
"2000-01-26",0.983817,"APPLE"
"2000-01-27",0.982143,"APPLE"
"2000-01-28",0.907366,"APPLE"
"2000-01-31",0.926339,"APPLE"
"2000-02-01",0.895089,"APPLE"
"2000-02-02",0.882254,"APPLE"
"2000-02-03",0.922433,"APPLE"
"2000-02-04",0.964286,"APPLE"
"2000-02-07",1.018415,"APPLE"
"2000-02-08",1.02567,"APPLE"
"2000-02-09",1.00558,"APPLE"
"2000-02-10",1.013393,"APPLE"
"2000-02-11",0.970982,"APPLE"
"2000-02-14",1.03404,"APPLE"
"2000-02-15",1.0625,"APPLE"
"2000-02-16",1.018973,"APPLE"
"2000-02-17",1.02567,"APPLE"
"2000-02-18",0.993304,"APPLE"
"2000-02-22",1.016183,"APPLE"
"2000-02-23",1.037946,"APPLE"
"2000-02-24",1.028599,"APPLE"
"2000-02-25",0.985491,"APPLE"
"2000-02-28",1.011161,"APPLE"
"2000-02-29",1.023438,"APPLE"
"2000-03-01",1.163504,"APPLE"
"2000-03-02",1.089286,"APPLE"
"2000-03-03",1.142857,"APPLE"
"2000-03-06",1.12221,"APPLE"
"2000-03-07",1.097098,"APPLE"
"2000-03-08",1.089286,"APPLE"
"2000-03-09",1.091518,"APPLE"
"2000-03-10",1.122768,"APPLE"
"2000-03-13",1.083147,"APPLE"
"2000-03-14",1.020089,"APPLE"
"2000-03-15",1.037946,"APPLE"
"2000-03-16",1.085379,"APPLE"
"2000-03-17",1.116071,"APPLE"
"2000-03-20",1.098214,"APPLE"
"2000-03-21",1.204799,"APPLE"
"2000-03-22",1.287388,"APPLE"
"2000-03-23",1.261719,"APPLE"
"2000-03-24",1.238281,"APPLE"
"2000-03-27",1.246094,"APPLE"
"2000-03-28",1.242188,"APPLE"
"2000-03-29",1.213728,"APPLE"
"2000-03-30",1.122768,"APPLE"
"2000-03-31",1.212612,"APPLE"
"2000-04-03",1.19029,"APPLE"
"2000-04-04",1.136719,"APPLE"
"2000-04-05",1.164063,"APPLE"
"2000-04-06",1.117746,"APPLE"
"2000-04-07",1.176339,"APPLE"
"2000-04-10",1.116071,"APPLE"
"2000-04-11",1.066406,"APPLE"
"2000-04-12",0.975446,"APPLE"
"2000-04-13",1.016183,"APPLE"
"2000-04-14",0.998884,"APPLE"
"2000-04-17",1.106027,"APPLE"
"2000-04-18",1.132813,"APPLE"
"2000-04-19",1.081473,"APPLE"
"2000-04-20",1.061384,"APPLE"
"2000-04-24",1.075893,"APPLE"
"2000-04-25",1.145647,"APPLE"
"2000-04-26",1.083147,"APPLE"
"2000-04-27",1.131696,"APPLE"
"2000-04-28",1.107701,"APPLE"
"2000-05-01",1.109933,"APPLE"
"2000-05-02",1.052455,"APPLE"
"2000-05-03",1.027344,"APPLE"
"2000-05-04",0.988281,"APPLE"
"2000-05-05",1.010045,"APPLE"
"2000-05-08",0.983259,"APPLE"
"2000-05-09",0.941406,"APPLE"
"2000-05-10",0.886719,"APPLE"
"2000-05-11",0.917969,"APPLE"
"2000-05-12",0.960938,"APPLE"
"2000-05-15",0.901786,"APPLE"
"2000-05-16",0.943638,"APPLE"
"2000-05-17",0.905134,"APPLE"
"2000-05-18",0.899554,"APPLE"
"2000-05-19",0.839286,"APPLE"
"2000-05-22",0.803013,"APPLE"
"2000-05-23",0.766183,"APPLE"
"2000-05-24",0.782924,"APPLE"
"2000-05-25",0.779157,"APPLE"
"2000-05-26",0.771205,"APPLE"
"2000-05-30",0.781808,"APPLE"
"2000-05-31",0.75,"APPLE"
"2000-06-01",0.795759,"APPLE"
"2000-06-02",0.826451,"APPLE"
"2000-06-05",0.81529,"APPLE"
"2000-06-06",0.829241,"APPLE"
"2000-06-07",0.862165,"APPLE"
"2000-06-08",0.84654,"APPLE"
"2000-06-09",0.854911,"APPLE"
"2000-06-12",0.814174,"APPLE"
"2000-06-13",0.84375,"APPLE"
"2000-06-14",0.807478,"APPLE"
"2000-06-15",0.824777,"APPLE"
"2000-06-16",0.814174,"APPLE"
"2000-06-19",0.862723,"APPLE"
"2000-06-20",0.904018,"APPLE"
"2000-06-21",0.993304,"APPLE"
"2000-06-22",0.959821,"APPLE"
"2000-06-23",0.922991,"APPLE"
"2000-06-26",0.966518,"APPLE"
"2000-06-27",0.924107,"APPLE"
"2000-06-28",0.972098,"APPLE"
"2000-06-29",0.915179,"APPLE"
"2000-06-30",0.935268,"APPLE"
"2000-07-03",0.952009,"APPLE"
"2000-07-05",0.921875,"APPLE"
"2000-07-06",0.925223,"APPLE"
"2000-07-07",0.972098,"APPLE"
"2000-07-10",1.020089,"APPLE"
"2000-07-11",1.016741,"APPLE"
"2000-07-12",1.051339,"APPLE"
"2000-07-13",1.008929,"APPLE"
"2000-07-14",1.030134,"APPLE"
"2000-07-17",1.041295,"APPLE"
"2000-07-18",1.022321,"APPLE"
"2000-07-19",0.940848,"APPLE"
"2000-07-20",0.984375,"APPLE"
